ID_ticket;Costo_tickets;ID_Order;ID_evento;ID_tribuna
1;12200;1462864;1;1
2;12600;1407040;2;2
3;23000;1407109;3;3
4;600;1407956;4;4
5;9500;1466577;5;5
6;11000;1400517;6;6
7;11860;1402875;7;7
8;19000;1403483;8;8
9;400;1403670;9;9
10;27000;1404412;10;10
11;19000;1404998;11;11
12;20800;1405439;12;12
13;400;1409575;13;13
14;18500;1411880;14;14
15;600;1463136;15;15
16;20800;1463488;16;16
17;9000;1470134;17;17
18;9000;1471097;18;18
19;16400;1475271;19;19
20;12600;1478931;20;20
21;22799;1480392;21;21
22;500;1441270;22;22
23;12980;1454876;23;23
24;7660;1454877;24;24
25;12600;1409323;25;25
26;20198;1461307;26;26
27;10320;1464111;27;27
28;10320;1471281;28;28
29;7660;1471244;29;29
30;20000;1476421;30;30
31;500;1477711;31;31
32;19500;1473281;32;32
33;9400;1407716;33;33
34;9400;1408158;34;34
35;11600;1409855;35;35
36;9600;1410391;36;36
37;15398;1410804;37;37
38;9160;1450391;38;38
39;11400;1450395;39;39
40;17800;1464693;40;40
41;400;1474921;41;41
42;11400;1477546;42;42
43;10460;1480334;43;43
44;600;1482165;44;44
45;1000;1482317;45;45
46;17800;1452191;46;46
47;36150;1471132;47;47
48;600;1465123;48;48
49;15000;1466215;49;49
50;14000;1479469;50;50
51;14000;1472033;51;51
52;19000;1472086;52;52
53;15500;1469351;53;53
54;9400;1472424;54;54
55;9400;1477513;55;55
56;11080;1476239;56;56
57;16970;1408092;57;57
58;22800;1452201;58;58
59;11860;1461578;59;59
60;11860;1461579;60;60
61;10320;1470912;61;61
62;19500;1475522;62;62
63;10700;1476706;63;63
64;8800;1480316;64;64
65;11240;1404589;65;65
66;24680;1466825;66;66
67;11300;1474959;67;67
68;21401;1406113;68;68
69;1500;1409761;69;69
70;13960;1411733;70;70
71;21400;1467653;71;71
72;14600;1480172;72;72
73;12980;1400534;73;73
74;12900;1404532;74;74
75;20200;1406238;75;75
76;10700;1410490;76;76
77;12600;1460030;77;77
78;18720;1463204;78;78
79;11600;1470124;79;79
80;18720;1478784;80;80
81;20198;1405570;81;81
82;600;1467333;82;82
83;2500;1410176;83;83
84;17500;1431795;84;84
85;9401;1461842;85;85
86;16000;1488109;86;86
87;15500;1461523;87;87
88;20800;1474663;88;88
89;8800;1464049;89;89
90;20198;1444866;90;90
91;7660;1410084;91;91
92;7660;1410835;92;92
93;36600;1411699;93;93
94;10000;1461216;94;94
95;16000;1471121;95;95
96;9000;1471122;96;96
97;16400;1471128;97;97
98;20198;1471900;98;98
99;9401;1476860;99;99
100;11160;1463796;100;100
